Gender,SeniorCitizen,Partner,Dependents,InternetService,Contract,Churn
Male,Yes,No,No,DSL,One year,No
Male,No,Yes,Yes,DSL,Month-to-month,No
Male,No,No,Yes,DSL,One year,No
Male,No,Yes,Yes,No,One year,No
Male,Yes,Yes,No,Fiber optic,Month-to-month,Yes
Male,No,Yes,Yes,No,Two year,No
Female,No,Yes,Yes,No,Month-to-month,No
Female,No,Yes,Yes,Fiber optic,Month-to-month,Yes
Female,Yes,Yes,No,Fiber optic,One year,No
Female,No,No,No,Fiber optic,One year,No
Female,No,No,No,Fiber optic,Month-to-month,No
Male,No,No,No,Fiber optic,One year,Yes
Male,No,No,No,DSL,Month-to-month,No
Male,No,No,No,No,Two year,No
Female,No,No,No,DSL,One year,No
Female,No,Yes,Yes,DSL,One year,No
Female,No,Yes,Yes,No,Month-to-month,No
Female,No,No,No,No,Month-to-month,No
Female,Yes,No,No,No,Two year,No
Female,No,Yes,No,Fiber optic,Month-to-month,Yes
Female,No,No,Yes,DSL,Month-to-month,No
Female,No,No,No,No,Month-to-month,No
Male,No,Yes,Yes,No,Two year,No
Male,No,Yes,No,Fiber optic,Month-to-month,Yes
Male,No,No,No,Fiber optic,Month-to-month,No
Female,No,No,No,DSL,Month-to-month,Yes
Female,Yes,Yes,Yes,DSL,Month-to-month,No
Male,Yes,Yes,No,Fiber optic,Month-to-month,Yes
Male,Yes,No,No,Fiber optic,Month-to-month,Yes
Female,No,No,No,No,One year,No
Male,Yes,Yes,No,Fiber optic,One year,Yes
Female,No,Yes,No,Fiber optic,One year,No
Male,Yes,No,No,Fiber optic,Month-to-month,No
Female,No,Yes,Yes,Fiber optic,Two year,Yes
Male,Yes,Yes,No,DSL,Month-to-month,Yes
Female,No,No,No,Fiber optic,Month-to-month,Yes
Female,No,No,No,No,Month-to-month,No
Female,Yes,Yes,No,No,One year,No
Male,No,No,No,DSL,Month-to-month,Yes
Female,No,No,Yes,Fiber optic,Month-to-month,No
Female,No,Yes,Yes,No,One year,No
Female,No,No,No,Fiber optic,Month-to-month,No
Male,No,Yes,No,DSL,Month-to-month,No
Male,Yes,Yes,No,Fiber optic,Month-to-month,Yes
Female,No,Yes,Yes,No,Two year,No
Male,No,Yes,No,Fiber optic,Month-to-month,No
Male,No,No,No,No,Month-to-month,No
Female,No,Yes,Yes,DSL,Two year,No
Female,No,No,Yes,No,Two year,No
Female,No,Yes,Yes,Fiber optic,Month-to-month,Yes
Female,No,No,No,DSL,Month-to-month,No
Female,No,No,No,DSL,One year,No
Male,No,No,No,DSL,Month-to-month,No
Male,No,Yes,No,DSL,Month-to-month,No
Female,No,No,No,DSL,One year,No
Female,Yes,No,No,Fiber optic,Month-to-month,No
Female,No,No,Yes,DSL,Month-to-month,No
Female,Yes,No,No,Fiber optic,Month-to-month,No
Female,No,Yes,Yes,No,Two year,No
Male,No,No,No,DSL,Month-to-month,Yes
Male,No,No,No,No,Two year,No
Male,No,No,No,Fiber optic,Month-to-month,Yes
Male,No,No,No,DSL,One year,No
Female,No,No,Yes,DSL,Month-to-month,Yes
Male,No,Yes,Yes,DSL,One year,No
Male,No,Yes,Yes,DSL,Two year,No
Male,No,Yes,Yes,Fiber optic,Two year,No
Female,No,Yes,Yes,No,Month-to-month,No
Female,No,Yes,Yes,No,One year,No
Male,No,Yes,No,DSL,Month-to-month,Yes
Female,No,No,No,DSL,One year,No
Female,No,Yes,Yes,DSL,One year,No
Female,No,Yes,No,Fiber optic,Two year,No
Female,No,Yes,No,DSL,One year,No
Female,No,Yes,No,DSL,Month-to-month,No
Male,No,No,No,DSL,Month-to-month,Yes
Male,No,No,No,DSL,Month-to-month,No
Female,No,Yes,No,Fiber optic,Month-to-month,Yes
Male,Yes,Yes,Yes,No,Two year,No
Male,No,Yes,No,Fiber optic,Month-to-month,No
Female,No,No,No,DSL,Month-to-month,Yes
Male,No,Yes,No,DSL,Two year,No
Male,No,No,Yes,DSL,One year,No
Female,No,No,No,DSL,Month-to-month,Yes
Female,Yes,Yes,No,Fiber optic,Month-to-month,Yes
Male,No,Yes,Yes,Fiber optic,Two year,No
Male,Yes,Yes,No,Fiber optic,Month-to-month,Yes
Female,No,Yes,No,Fiber optic,Two year,No
Female,No,Yes,No,DSL,Two year,No
Male,No,No,No,No,Two year,No
Male,No,No,No,No,Month-to-month,No
Female,Yes,No,No,Fiber optic,Month-to-month,No
Male,No,Yes,Yes,DSL,Two year,No
Male,No,Yes,Yes,DSL,One year,No
Female,No,Yes,Yes,No,Two year,No
Female,Yes,Yes,No,Fiber optic,Month-to-month,Yes
Female,Yes,No,No,Fiber optic,Two year,No
Female,No,Yes,No,DSL,Two year,No
Male,No,No,No,No,Month-to-month,No
Female,No,No,No,No,One year,No
Female,No,No,No,Fiber optic,One year,Yes
Male,No,No,No,DSL,Month-to-month,Yes
Male,No,No,No,No,Month-to-month,No
Male,No,No,No,DSL,Month-to-month,No
Female,No,No,No,DSL,Month-to-month,No
Female,No,Yes,No,DSL,Month-to-month,No
Female,No,No,No,Fiber optic,Month-to-month,No
Female,Yes,Yes,Yes,Fiber optic,One year,No
Male,No,No,No,Fiber optic,Month-to-month,No
Male,No,No,No,DSL,Month-to-month,No
Female,No,Yes,Yes,Fiber optic,Two year,No
Female,No,No,No,DSL,One year,No
Male,No,No,No,No,Two year,No
Male,No,No,No,Fiber optic,Two year,No
Female,No,No,No,DSL,One year,No
Male,No,No,No,DSL,Month-to-month,No
Female,No,Yes,Yes,No,Two year,No
Female,No,No,No,No,One year,No
Male,No,No,No,Fiber optic,One year,No
Female,No,Yes,Yes,DSL,One year,No
Male,No,Yes,No,Fiber optic,Month-to-month,Yes
Male,Yes,No,No,Fiber optic,Month-to-month,Yes
Female,No,Yes,No,Fiber optic,One year,No
Female,No,Yes,No,Fiber optic,Month-to-month,No
Male,No,Yes,No,DSL,Month-to-month,No
Female,No,No,No,DSL,Two year,No
Female,Yes,No,No,Fiber optic,Month-to-month,Yes
Female,No,No,No,DSL,Month-to-month,No
Male,No,No,No,DSL,Month-to-month,No
Male,Yes,No,No,DSL,Month-to-month,No
Male,No,Yes,Yes,Fiber optic,Two year,No
Female,No,Yes,Yes,No,Two year,No
Female,No,No,No,DSL,Month-to-month,Yes
Male,Yes,Yes,No,Fiber optic,Month-to-month,No
Male,No,No,Yes,No,Month-to-month,No
Female,No,No,No,No,Month-to-month,No
Male,Yes,Yes,No,Fiber optic,Month-to-month,Yes
Female,No,Yes,No,DSL,Month-to-month,Yes
Male,No,Yes,Yes,No,One year,No
Male,Yes,Yes,No,Fiber optic,Month-to-month,No
Female,No,Yes,Yes,DSL,Two year,No
Female,No,No,No,Fiber optic,Month-to-month,Yes
Female,Yes,Yes,No,Fiber optic,One year,No
Female,No,No,No,DSL,Two year,No
Female,No,No,No,DSL,One year,No
Male,No,No,No,Fiber optic,Month-to-month,No
Female,No,No,No,Fiber optic,Month-to-month,Yes
Female,No,No,No,Fiber optic,Month-to-month,Yes
Male,No,Yes,Yes,No,Two year,No
Female,No,Yes,Yes,Fiber optic,Two year,No
Male,No,Yes,No,No,Month-to-month,Yes
Female,Yes,No,No,Fiber optic,Month-to-month,No
Male,No,No,No,No,Month-to-month,Yes
Male,No,No,No,No,Month-to-month,No
Female,No,No,Yes,No,One year,No
Female,No,No,No,DSL,One year,No
Male,No,No,No,Fiber optic,Month-to-month,No
Female,Yes,Yes,No,DSL,Two year,No
Female,No,Yes,No,Fiber optic,Month-to-month,No
Male,Yes,Yes,No,DSL,Two year,No
Male,Yes,No,No,Fiber optic,Month-to-month,No
Female,No,Yes,Yes,Fiber optic,Month-to-month,Yes
Male,No,Yes,Yes,Fiber optic,Month-to-month,No
Male,No,No,No,Fiber optic,Month-to-month,Yes
Female,No,No,No,DSL,Month-to-month,Yes
Female,No,No,No,No,Month-to-month,No
Female,Yes,Yes,Yes,Fiber optic,Month-to-month,No
Male,No,Yes,No,Fiber optic,Month-to-month,Yes
Male,Yes,No,No,Fiber optic,Month-to-month,No
Male,No,No,No,DSL,Month-to-month,Yes
Male,No,Yes,Yes,Fiber optic,One year,No
Male,No,No,No,Fiber optic,Month-to-month,Yes
Male,No,No,No,DSL,Month-to-month,Yes
Female,Yes,Yes,No,No,Two year,No
Female,Yes,No,No,Fiber optic,Month-to-month,Yes
Female,Yes,No,No,Fiber optic,Two year,No
Male,No,Yes,Yes,Fiber optic,One year,No
Male,No,Yes,Yes,DSL,Two year,No
Male,No,Yes,Yes,DSL,One year,No
Male,No,No,No,DSL,Month-to-month,No
Male,No,Yes,No,Fiber optic,One year,No
Male,No,Yes,No,Fiber optic,One year,Yes
Male,No,Yes,Yes,No,Two year,No
Male,No,No,No,No,Month-to-month,No
Male,No,Yes,Yes,DSL,Two year,No
Male,No,No,No,Fiber optic,Month-to-month,Yes
Female,Yes,No,No,DSL,Month-to-month,No
Female,Yes,No,No,Fiber optic,Month-to-month,No
Female,No,No,Yes,Fiber optic,One year,No
Female,No,Yes,Yes,Fiber optic,One year,No
Male,No,No,No,Fiber optic,Month-to-month,Yes
Male,No,No,No,Fiber optic,Two year,No
Male,No,No,No,DSL,Month-to-month,Yes
Male,No,Yes,Yes,No,Two year,No
Male,Yes,No,No,Fiber optic,Month-to-month,Yes
Female,No,Yes,Yes,No,Two year,No
Female,Yes,No,No,Fiber optic,Month-to-month,No
Male,No,Yes,Yes,DSL,One year,Yes
Female,No,Yes,Yes,Fiber optic,One year,No
Male,No,No,No,DSL,Month-to-month,No
Male,No,Yes,No,Fiber optic,Month-to-month,Yes
Male,No,Yes,No,Fiber optic,Month-to-month,No
Male,Yes,No,No,Fiber optic,Month-to-month,Yes
Male,No,Yes,No,DSL,Two year,No
Male,No,No,No,DSL,One year,No
Female,No,No,Yes,DSL,One year,No
Female,No,Yes,Yes,Fiber optic,Month-to-month,Yes
Male,No,No,No,DSL,One year,No
Female,No,Yes,Yes,No,Two year,No
Male,No,No,No,No,Two year,No
Female,Yes,No,No,Fiber optic,Month-to-month,Yes
Male,No,Yes,Yes,DSL,Two year,No
Male,No,Yes,Yes,Fiber optic,One year,No
Female,No,Yes,Yes,DSL,One year,No
Female,Yes,No,No,DSL,Month-to-month,Yes
Male,No,Yes,Yes,DSL,Two year,No
Male,No,No,No,No,One year,No
Male,No,No,No,Fiber optic,Month-to-month,No
Female,No,Yes,Yes,Fiber optic,Month-to-month,Yes
Male,No,Yes,Yes,Fiber optic,One year,No
Male,No,Yes,Yes,Fiber optic,Two year,No
Male,No,No,No,No,Two year,No
Male,No,No,No,DSL,Month-to-month,Yes
Male,No,No,Yes,DSL,One year,No
Male,No,Yes,No,DSL,Two year,No
Female,No,Yes,Yes,No,Month-to-month,No
Female,Yes,Yes,No,Fiber optic,Month-to-month,Yes
Female,No,No,No,Fiber optic,Month-to-month,Yes
Male,No,No,No,No,Month-to-month,No
Male,No,No,No,No,Two year,No
Male,Yes,Yes,Yes,DSL,Month-to-month,Yes
Male,Yes,Yes,No,Fiber optic,Month-to-month,No
Male,No,No,No,Fiber optic,Month-to-month,Yes
Male,Yes,Yes,No,Fiber optic,Month-to-month,No
Male,No,Yes,No,Fiber optic,Two year,No
Male,No,No,Yes,Fiber optic,Month-to-month,Yes
Male,No,No,No,DSL,Month-to-month,Yes
Female,No,Yes,Yes,Fiber optic,Two year,No
Female,No,Yes,Yes,DSL,Two year,No
Male,Yes,Yes,No,Fiber optic,Month-to-month,No
Female,No,Yes,No,DSL,One year,No
Male,No,No,No,DSL,Two year,No
Male,No,No,No,Fiber optic,Two year,No
Female,No,Yes,No,DSL,Two year,No
Male,No,No,No,Fiber optic,Month-to-month,No
Female,No,Yes,No,Fiber optic,Two year,No
Female,No,Yes,Yes,No,Month-to-month,No
Male,No,Yes,Yes,DSL,Month-to-month,No
Female,No,No,No,DSL,Month-to-month,No
Female,No,Yes,No,Fiber optic,Two year,No
Male,Yes,Yes,No,Fiber optic,One year,No
Female,No,No,No,DSL,Month-to-month,Yes
Female,Yes,No,No,Fiber optic,Month-to-month,Yes
Female,No,Yes,No,No,Month-to-month,No
Male,No,Yes,Yes,DSL,Two year,No
Female,No,No,No,DSL,Two year,No
Male,No,Yes,Yes,No,Two year,No
Female,No,No,No,Fiber optic,One year,No
Female,No,No,No,DSL,One year,No
Male,No,No,No,Fiber optic,Two year,No
Female,No,No,No,DSL,Month-to-month,No
Male,Yes,No,No,Fiber optic,Month-to-month,Yes
Female,No,No,No,Fiber optic,Month-to-month,Yes
Female,No,No,No,No,One year,No
Female,No,No,No,DSL,Month-to-month,No
Female,No,Yes,Yes,No,Two year,No
Male,Yes,Yes,No,Fiber optic,One year,No
Male,No,No,Yes,DSL,One year,No
Female,Yes,No,No,Fiber optic,Month-to-month,Yes
Male,No,No,No,Fiber optic,One year,No
Male,No,No,No,DSL,Two year,No
Female,No,Yes,Yes,No,One year,No
Male,No,No,No,No,Month-to-month,Yes
Female,No,Yes,No,Fiber optic,Two year,No
Female,No,Yes,Yes,DSL,Month-to-month,No
Female,No,No,Yes,DSL,One year,No
Male,No,No,No,No,One year,No
Male,No,Yes,Yes,No,Two year,No
Female,No,No,No,Fiber optic,Month-to-month,Yes
Female,No,No,No,Fiber optic,Month-to-month,No
Male,No,No,No,DSL,One year,No
Female,No,No,Yes,No,Month-to-month,No
Male,No,No,No,Fiber optic,Month-to-month,Yes
Male,No,No,No,Fiber optic,Month-to-month,No
Male,No,No,No,Fiber optic,Two year,Yes
Female,No,Yes,No,Fiber optic,Two year,Yes
Female,No,No,No,DSL,One year,No
Male,No,Yes,Yes,Fiber optic,One year,No
Male,No,No,Yes,No,Two year,No
Male,No,No,No,No,Month-to-month,Yes
Female,No,Yes,Yes,No,Two year,No
Female,Yes,Yes,No,DSL,One year,No
Female,No,Yes,Yes,Fiber optic,One year,No
Male,No,Yes,Yes,Fiber optic,Month-to-month,No
Female,No,No,No,DSL,Two year,No
Female,No,Yes,Yes,No,Two year,No
Female,Yes,No,No,DSL,Month-to-month,No
Female,No,No,No,Fiber optic,Month-to-month,Yes
Female,No,Yes,No,Fiber optic,Two year,No
Female,No,No,No,Fiber optic,Month-to-month,Yes
Female,Yes,No,No,Fiber optic,Month-to-month,Yes
Male,No,No,No,Fiber optic,One year,No
Female,No,No,No,No,Month-to-month,No
Female,No,No,No,Fiber optic,Month-to-month,No
Female,No,Yes,No,No,Two year,No
Female,No,No,No,DSL,One year,No
Female,Yes,No,No,Fiber optic,One year,No
Male,No,No,No,Fiber optic,One year,Yes
Male,No,No,No,Fiber optic,Month-to-month,Yes
Female,No,No,No,Fiber optic,Month-to-month,No
Female,No,Yes,Yes,DSL,Two year,No
Male,No,Yes,Yes,No,Two year,No
Male,No,No,No,Fiber optic,Month-to-month,Yes
Male,No,No,Yes,No,Month-to-month,No
Male,Yes,Yes,No,DSL,Month-to-month,No
Female,No,Yes,Yes,DSL,One year,No
Female,No,Yes,No,No,Month-to-month,Yes
Female,No,No,No,Fiber optic,Month-to-month,Yes
Female,No,No,No,Fiber optic,One year,No
Female,No,Yes,Yes,Fiber optic,Month-to-month,No
Female,No,Yes,Yes,Fiber optic,Month-to-month,Yes
Female,No,No,No,DSL,Two year,No
Male,No,No,No,Fiber optic,One year,No
Female,No,No,No,DSL,Two year,No
Female,No,No,No,Fiber optic,Two year,No
Female,No,Yes,No,Fiber optic,Month-to-month,No
Male,No,Yes,Yes,DSL,One year,No
Male,No,Yes,Yes,Fiber optic,Two year,No
Female,Yes,No,No,Fiber optic,One year,Yes
Female,No,No,Yes,Fiber optic,Two year,No
Female,No,No,No,DSL,Month-to-month,No
Male,No,Yes,Yes,Fiber optic,Month-to-month,No
Female,No,Yes,Yes,Fiber optic,One year,No
Male,No,No,No,No,Month-to-month,No
Male,No,No,Yes,DSL,Month-to-month,Yes
Male,No,No,No,Fiber optic,Month-to-month,No
Female,No,No,No,Fiber optic,Month-to-month,Yes
Male,No,Yes,No,Fiber optic,Month-to-month,No
Male,No,No,No,No,One year,No
Female,Yes,Yes,No,Fiber optic,Month-to-month,Yes
Female,Yes,No,No,DSL,Month-to-month,No
Male,Yes,Yes,Yes,DSL,Month-to-month,Yes
Male,No,Yes,No,Fiber optic,Month-to-month,No
Female,No,No,No,Fiber optic,Month-to-month,No
Female,No,Yes,Yes,No,Two year,No
Male,No,No,Yes,No,Month-to-month,No
Male,No,Yes,Yes,Fiber optic,Month-to-month,Yes
Male,No,Yes,No,Fiber optic,Month-to-month,No
Male,No,Yes,No,DSL,Month-to-month,No
Female,No,Yes,No,Fiber optic,One year,No
Female,No,No,No,Fiber optic,Two year,No
Male,No,No,No,Fiber optic,One year,No
Male,No,Yes,No,Fiber optic,One year,Yes
Female,No,Yes,Yes,DSL,Two year,No
Male,No,Yes,Yes,Fiber optic,Month-to-month,No
Female,No,No,No,No,Month-to-month,Yes
Female,No,No,No,DSL,Month-to-month,No
Female,No,No,No,Fiber optic,Month-to-month,No
Female,No,No,No,Fiber optic,Month-to-month,No
Male,No,No,Yes,No,Two year,No
Male,Yes,Yes,No,Fiber optic,Month-to-month,Yes
Female,No,Yes,No,DSL,Two year,No
Male,No,No,No,DSL,Two year,No
Male,Yes,No,No,Fiber optic,Month-to-month,Yes
Male,Yes,No,No,Fiber optic,Two year,No
Female,No,No,No,Fiber optic,Month-to-month,Yes
Female,No,No,No,No,Two year,No
Male,No,Yes,Yes,No,Two year,No
Male,No,Yes,Yes,Fiber optic,Month-to-month,No
Female,No,Yes,Yes,No,Two year,No
Female,No,No,No,Fiber optic,Month-to-month,Yes
Male,No,No,No,No,Two year,No
Male,No,No,No,DSL,Month-to-month,Yes
Male,No,Yes,Yes,Fiber optic,Month-to-month,Yes
Male,No,No,No,Fiber optic,Month-to-month,Yes
Male,Yes,Yes,No,Fiber optic,Month-to-month,No
Male,No,No,Yes,No,Month-to-month,No
Male,No,Yes,Yes,DSL,One year,No
Male,No,No,Yes,DSL,Two year,No
Female,No,Yes,No,No,One year,No
Male,No,No,Yes,Fiber optic,Month-to-month,Yes
Male,No,Yes,Yes,DSL,Two year,No
Female,No,Yes,No,DSL,Month-to-month,No
Female,No,No,No,No,Month-to-month,Yes
Female,No,Yes,Yes,No,Two year,No
Male,No,Yes,Yes,Fiber optic,One year,No
Male,No,Yes,Yes,DSL,One year,No
Female,No,Yes,Yes,DSL,Month-to-month,No
Male,No,No,No,Fiber optic,Month-to-month,No
Female,No,No,No,DSL,One year,No
Male,No,Yes,Yes,Fiber optic,One year,Yes
Female,Yes,Yes,No,Fiber optic,Month-to-month,No
Male,Yes,No,No,DSL,One year,No
Male,No,Yes,Yes,Fiber optic,Two year,Yes
Female,No,No,No,Fiber optic,Month-to-month,No
Female,No,No,No,DSL,Two year,No
Female,No,No,Yes,DSL,Month-to-month,Yes
Female,No,Yes,Yes,DSL,Two year,No
Male,No,Yes,Yes,Fiber optic,Two year,No
Male,No,No,No,Fiber optic,Two year,No
Female,Yes,No,No,Fiber optic,One year,No
Female,No,No,No,DSL,Month-to-month,No
Female,No,No,No,DSL,One year,No
Male,No,No,No,Fiber optic,Two year,Yes
Male,No,Yes,Yes,No,One year,No
Female,Yes,No,No,DSL,One year,No
Male,Yes,Yes,No,Fiber optic,Month-to-month,No
Female,No,Yes,Yes,Fiber optic,Two year,No
Female,No,Yes,Yes,Fiber optic,Month-to-month,Yes
Male,No,Yes,Yes,No,Two year,No
Female,No,Yes,No,DSL,One year,No
Male,No,No,No,DSL,Two year,No
Female,Yes,Yes,No,Fiber optic,Month-to-month,Yes
Male,No,Yes,No,DSL,One year,No
Male,Yes,Yes,No,Fiber optic,Month-to-month,No
Male,No,Yes,No,Fiber optic,One year,No
Female,No,No,No,DSL,Two year,No
Male,No,No,No,DSL,One year,No
Female,No,Yes,Yes,No,Two year,No
Female,No,Yes,No,DSL,Two year,Yes
Male,No,Yes,Yes,DSL,One year,No
Female,No,No,No,DSL,One year,No
Male,No,No,No,No,Two year,No
Female,No,No,No,Fiber optic,Month-to-month,Yes
Male,No,Yes,Yes,DSL,One year,No
Female,No,Yes,Yes,No,Month-to-month,No
Male,No,No,No,No,Two year,No
Male,No,Yes,No,DSL,Month-to-month,No
Female,No,Yes,Yes,No,Two year,No
Male,No,No,No,DSL,Month-to-month,Yes
Male,No,Yes,Yes,DSL,Two year,No
Female,No,No,No,DSL,Two year,No
Female,No,Yes,Yes,No,Two year,No
Male,Yes,No,No,Fiber optic,Month-to-month,Yes
Female,No,Yes,Yes,Fiber optic,Month-to-month,No
Female,No,No,No,Fiber optic,Month-to-month,No
Female,No,Yes,Yes,DSL,Month-to-month,No
Female,No,Yes,Yes,DSL,One year,No
Female,No,No,No,No,Month-to-month,No
Male,No,No,Yes,DSL,One year,Yes
Male,No,No,No,Fiber optic,Month-to-month,No
Male,Yes,Yes,Yes,Fiber optic,One year,No
Male,No,No,No,DSL,One year,No
Male,No,No,No,Fiber optic,One year,Yes
Male,No,No,No,No,Month-to-month,No
Female,No,Yes,Yes,No,Two year,No
Male,Yes,Yes,Yes,Fiber optic,One year,No
Male,No,No,No,Fiber optic,Month-to-month,No
Male,Yes,Yes,No,Fiber optic,Month-to-month,Yes
Female,No,No,No,Fiber optic,Month-to-month,No
Male,No,Yes,No,DSL,Month-to-month,No
Female,No,No,Yes,Fiber optic,Two year,No
Male,No,Yes,Yes,DSL,One year,No
Male,No,Yes,Yes,DSL,Month-to-month,No
Male,Yes,Yes,No,DSL,Month-to-month,No
Male,No,No,No,Fiber optic,Month-to-month,Yes
Male,No,Yes,No,Fiber optic,Month-to-month,No
Male,No,No,No,Fiber optic,Month-to-month,Yes
Male,No,Yes,No,DSL,One year,No
Male,Yes,No,No,DSL,Month-to-month,No
Female,No,Yes,Yes,No,Two year,No
Male,No,No,No,Fiber optic,Month-to-month,No
Male,No,No,No,Fiber optic,Month-to-month,No
Male,No,Yes,No,DSL,One year,No
Male,No,No,No,No,Two year,No
Male,No,Yes,Yes,DSL,One year,No
Male,No,Yes,Yes,No,One year,No
Female,No,Yes,Yes,Fiber optic,One year,No
Female,No,No,No,Fiber optic,Month-to-month,Yes
Female,No,No,No,No,Two year,No
Female,No,No,Yes,DSL,Month-to-month,No
Male,No,Yes,Yes,DSL,One year,No
Male,Yes,Yes,No,Fiber optic,Two year,No
Female,No,Yes,No,Fiber optic,Two year,No
Female,No,No,No,DSL,Month-to-month,Yes
Female,No,No,Yes,DSL,Month-to-month,No
Female,No,Yes,Yes,Fiber optic,Month-to-month,No
Male,No,No,No,Fiber optic,Month-to-month,Yes
Male,No,Yes,Yes,Fiber optic,Month-to-month,No
Male,No,No,No,DSL,One year,No
Male,No,Yes,No,Fiber optic,Month-to-month,No
Female,No,Yes,No,DSL,Month-to-month,Yes
Female,No,Yes,No,Fiber optic,Two year,No
Female,No,No,No,Fiber optic,Month-to-month,Yes
Male,No,No,No,No,Month-to-month,Yes
Male,No,No,No,No,One year,No
Female,No,No,No,Fiber optic,Month-to-month,Yes
Male,No,Yes,No,No,Two year,No
Male,No,Yes,No,DSL,One year,No
Female,No,No,Yes,DSL,Month-to-month,No
Male,No,No,No,Fiber optic,Month-to-month,Yes
Male,Yes,Yes,No,Fiber optic,Month-to-month,Yes
Male,No,No,No,Fiber optic,Month-to-month,No
Female,No,No,No,Fiber optic,Month-to-month,Yes
Male,No,No,No,No,Month-to-month,No
Female,No,No,No,DSL,Two year,No
Female,No,Yes,No,Fiber optic,One year,No
Female,No,Yes,Yes,DSL,Month-to-month,No
Male,No,Yes,Yes,DSL,One year,No
Male,No,No,No,Fiber optic,Month-to-month,Yes
Male,No,Yes,Yes,DSL,Two year,No
Female,No,No,No,Fiber optic,Month-to-month,Yes
Female,No,Yes,Yes,Fiber optic,Month-to-month,Yes
Female,No,Yes,Yes,Fiber optic,Month-to-month,Yes
Male,Yes,Yes,No,DSL,Month-to-month,Yes
Female,No,Yes,Yes,Fiber optic,Two year,No
Female,No,Yes,Yes,DSL,Two year,No
Male,No,No,No,DSL,Month-to-month,No
Male,No,Yes,Yes,DSL,Month-to-month,No
Male,No,Yes,No,DSL,Two year,No
Female,No,No,No,DSL,Month-to-month,Yes
Male,No,No,Yes,DSL,Month-to-month,Yes
Female,No,Yes,Yes,DSL,Month-to-month,No
Male,No,No,No,DSL,Month-to-month,Yes
Male,No,Yes,Yes,Fiber optic,One year,No
Male,No,No,No,Fiber optic,Month-to-month,Yes
Female,No,Yes,Yes,No,Two year,No
Female,No,Yes,No,DSL,Month-to-month,No
Female,No,No,No,DSL,One year,No
Male,No,No,Yes,Fiber optic,Month-to-month,Yes
Male,No,Yes,Yes,No,Two year,No
Male,No,No,Yes,Fiber optic,One year,Yes
Male,No,Yes,Yes,DSL,Month-to-month,Yes
Male,No,Yes,Yes,No,Two year,No
Male,Yes,No,No,Fiber optic,Month-to-month,Yes
Male,Yes,Yes,No,DSL,One year,No
Female,No,No,No,DSL,Month-to-month,No
Female,Yes,No,No,No,One year,No
Male,Yes,Yes,No,Fiber optic,Month-to-month,No
Female,Yes,No,No,Fiber optic,One year,No
Male,No,No,No,Fiber optic,One year,Yes
Male,No,No,No,DSL,Month-to-month,No
Male,No,Yes,No,Fiber optic,One year,Yes
Male,No,No,No,Fiber optic,Month-to-month,Yes
Female,No,Yes,No,DSL,Month-to-month,No
Female,No,No,No,DSL,One year,No
Female,No,No,Yes,No,Two year,No
Male,No,No,No,Fiber optic,Month-to-month,Yes
Female,No,Yes,Yes,DSL,One year,No
Female,Yes,No,No,Fiber optic,Month-to-month,Yes
Female,No,No,No,DSL,Month-to-month,Yes
Male,No,No,No,DSL,Month-to-month,No
Male,Yes,Yes,No,DSL,Two year,No
Male,No,Yes,Yes,DSL,Month-to-month,No
Female,No,No,No,DSL,Month-to-month,Yes
Male,No,Yes,No,Fiber optic,Month-to-month,Yes
Female,No,Yes,No,Fiber optic,One year,No
